airport,lat,lon
KDMO,38.70740128,-93.17590332
KDMW,39.60829926,-77.00769806
KDNL,33.46649933,-82.03939819
KDNN,34.72290039,-84.87020111
KDNS,41.9864006,-95.38069916
KDNV,40.19919968,-87.59590149
KDOV,39.12950134,-75.46600342
KDPA,41.90779877,-88.24859619
KDPG,40.19940186,-112.9369965
KDPL,35.00009918,-77.98169708
KDQH,31.47669983,-82.86049652
KDRA,36.6194,-116.032997
KDRI,30.83169937,-93.33989716
KDRM,46.00930023,-83.74389648
KDRO,37.1515007,-107.7539978
KDRP,35.1200556,-90.8265
KDRT,29.37420082,-100.927002
KDSM,41.5340004,-93.6631012
KDSV,42.57089996,-77.71309662
KDTA,39.38059998,-112.5080032
KDTL,46.82519913,-95.88569641
KDTN,32.54019928,-93.74500275
KDTO,33.20069885,-97.19799805
KDTS,30.40010071,-86.47149658
KDTW,42.21239853,-83.35340118
KDUA,33.94229889,-96.39450073
KDUC,34.47090149,-97.9598999
KDUG,31.46899986,-109.6039963
KDUH,41.73590088,-83.65540314
KDUJ,41.17829895,-78.8986969
KDUX,35.85789871,-102.0130005
KDVK,37.57789993,-84.7696991
KDVL,48.11420059,-98.90879822
KDVN,41.61029816,-90.58830261
KDVO,38.14360046,-122.5559998
KDVP,43.98680115,-95.7826004
KDVT,33.68830109,-112.0830002
KDWA,38.57910156,-121.8570023
KDWF,39.78,-84.10444444
KDWH,30.0618,-95.55280304
KDWU,38.55450058,-82.73799896
KDXE,36.77750015,-89.94120026
KDXR,41.37149811,-73.48220062
KDXX,44.98619843,-96.17769623
KDYA,32.46379852,-87.95410156
KDYB,33.0634,-80.279297
KDYL,40.33300018,-75.12229919
KDYR,35.9980011,-89.40660095
KDYS,32.42079926,-99.854599
KDYT,46.72190094,-92.04340363
KDZB,30.52709961,-98.35870361
KDZJ,34.85509872,-83.99690247
KE01,31.58250046,-102.9089966
KE05,32.66109848,-107.197998
KE06,32.95389938,-103.4089966
KE11,32.33110046,-102.5299988
KE13,31.4151001,-102.362999
KE14,36.02999878,-106.0459976
KE16,37.08160019,-121.5970001
KE19,36.2336998,-101.4319992
KE24,33.8125,-109.9869995
KE25,33.96889877,-112.7990036
KE26,32.1310997,-103.1549988
KE30,31.67449951,-99.97699738
KE34,34.91149902,-100.8690033
KE35,31.51569939,-106.1470032
KE38,30.38419914,-103.6839981
KE41,31.19890022,-101.4729996
KE42,36.22100067,-101.1949997
KE45,37.86169815,-120.1780014
KE48,31.12509918,-102.2249985
KE51,34.59590149,-113.1699982
KE52,35.23199844,-102.3990021
KE57,32.97510147,-102.8420029
KE60,32.80699921,-111.586998
KE63,32.95809937,-112.6780014
KE67,33.04759979,-110.9089966
KE77,32.63650131,-110.6470032
KE78,31.93289948,-111.8939972
KE80,34.645198,-106.834
KE89,35.36439896,-104.1819992
KE91,36.11090088,-109.5749969
KE95,31.99970055,-110.3570023
KE98,34.75979996,-106.7450027
KEAG,42.70980072,-93.91609955
KEAN,42.0555,-104.929001
KEAR,40.72700119,-99.00679779
KEAT,47.39889908,-120.2070007
KEAU,44.86579895,-91.48429871
KEB,59.35210037,-151.9250031
KEBD,37.6818,-82.1221
KEBG,26.44169998,-98.12220001
KEBS,42.43659973,-93.86889648
KEBY,48.3704528,-124.5981194
KECG,36.26060104,-76.17459869
KECP,30.357106,-85.795414
KECS,43.885399,-104.318001
KECU,29.94689941,-100.1740036
KEDC,30.3974931,-97.5663935
KEDE,36.02769852,-76.56710052
KEDG,39.39160156,-76.29109955
KEDJ,40.37229919,-83.81900024
KEDN,31.29969978,-85.89990234
KEDU,38.53150177,-121.7860031
KEDW,34.905399,-117.884003
KEED,34.7663002,-114.6230011
KEEN,42.89839935,-72.27079773
KEEO,40.04880142,-107.8860016
KEET,33.17699814,-86.78279877
KEFC,44.73419952,-103.8619995
KEFD,29.6072998,-95.15879822
KEFK,44.888802,-72.229202
KEFT,42.61489868,-89.5904007
KEFW,42.0102005,-94.34259796
KEGE,39.64260101,-106.9179993
KEGI,30.65040016,-86.52290344
KEGQ,43.10200119,-94.70469666
KEGT,37.32360077,-97.38829803
KEGV,45.93230057,-89.26830292
KEHA,37.000702,-101.879997
KEHO,35.25559998,-81.60099792
KEHR,37.80780029,-87.68569946
KEHT,41.75419998,-72.62470245
KEIK,40.0102005,-105.0479965
KEIW,36.53530121,-89.59970093
KEK,59.35680008,-157.470993
KEKA,40.80339813,-124.112999
KEKM,41.7193985,-86.00319672
KEKN,38.88940048,-79.85710144
KEKO,40.82490158,-115.7919998
KEKQ,36.8553009,-84.85610199
KEKS,45.271801,-111.649002
KEKX,37.68600082,-85.92500305
KEKY,33.31290054,-86.92590332
KELA,29.60059929,-96.32189941
KELD,33.22100067,-92.81330109
KELK,35.43080139,-99.39430237
KELM,42.15990067,-76.89160156
KELN,47.03300095,-120.5309982
KELO,47.82450104,-91.83070374
KELP,31.80719948,-106.3779984
KELY,39.29970169,-114.8420029
KELZ,42.10950089,-77.98999786
KEMM,41.82410049,-110.5569992
KEMP,38.33209991,-96.19120026
KEMT,34.086102,-118.035004
KEMV,36.68690109,-77.48280334
KEND,36.33919907,-97.91649628
KENL,38.51509857,-89.0911026
KENV,40.71870041,-114.0309982
KENW,42.59569931,-87.92780304
KEOE,34.30929947,-81.63970184
KEOK,40.4598999,-91.42849731
KEOP,39.16690063,-82.92819977
KEOS,36.81079865,-94.39170074
KEPH,47.30759811,-119.5159988
KEPM,44.91009903,-67.01270294
KEQA,37.77410126,-96.81759644
KEQY,35.01879883,-80.62020111
KERI,42.08312701,-80.17386675
KERR,44.79249954,-71.16419983
KERV,29.97669983,-99.08570099
KERY,46.31119919,-85.45729828
KESC,45.72269821,-87.09369659
KESF,31.39489937,-92.29579926
KESN,38.80419922,-76.06900024
KEST,43.40739822,-94.74639893
KESW,47.25419998,-121.185997
KETB,43.42219925,-88.12789917
KETC,35.93709946,-77.54660034
KETH,45.7804985,-96.54350281
KETN,32.41350174,-98.80979919
KEUF,31.95129967,-85.12889862
KEUG,44.12459946,-123.211998
KEUL,43.64189911,-116.6360016
KEVB,29.0557003,-80.94889832
KEVM,47.42509842,-92.49849701
KEVU,40.35250092,-94.91500092
KEVV,38.03699875,-87.53240204
KEVW,41.27479935,-111.0350037
KEVY,39.520401,-75.72039795
KEWB,41.67610168,-70.95690155
KEWK,38.05820084,-97.27449799
